"team","age","height","weight","gp","pts","reb","ast","net_rating","oreb_pct","dreb_pct","usg_pct","ts_pct","ast_pct"
"NYK","Veteran","Tall","Medium","21","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Low"
"ORL","Veteran","Tall","Medium","67","Medium","Medium","Low","Average","Medium","Medium","Low","Solid","Medium"
"DET","Young","Medium","Medium","33","Low","Low","Low","Average","High","Medium","Medium","LowEff","Low"
"PHI","Young","Medium","Medium","81","Medium","Low","Low","Negative","Medium","Low","High","Solid","Medium"
"NJN","Prime","Medium","Medium","77","Medium","Low","Medium","Negative","Medium","Medium","Medium","Solid","Medium"
"SEA","Young","Tall","Medium","82","Low","Low","Low","Positive","High","Medium","Low","LowEff","Low"
"DET","Veteran","Medium","Light","79","Medium","Low","Medium","Positive","Low","Low","Medium","Solid","Medium"
"LAL","Veteran","Medium","Medium","70","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Low"
"NJN","Veteran","Tall","Medium","59","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Low"
"MIL","Veteran","Tall","Medium","56","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Low"
"MIA","Prime","Medium","Light","48","Low","Low","Low","Average","Low","Low","Low","Elite","High"
"TOR","Veteran","Medium","Light","32","Low","Low","Low","Negative","Low","Medium","Medium","LowEff","Medium"
"NYK","Veteran","Medium","Light","77","Medium","Low","Low","Positive","Low","Low","Medium","Solid","Medium"
"UTA","Veteran","Medium","Light","82","Medium","Low","High","Positive","Low","Low","Medium","Elite","High"
"NYK","Young","Medium","Medium","68","Low","Low","Low","Average","Medium","Medium","Medium","Solid","Low"
"MIL","Veteran","Medium","Light","82","Low","Low","Low","Average","Low","Low","Low","Solid","Low"
"ATL","Prime","Medium","Medium","58","Low","Low","Low","Average","Low","Low","Low","Solid","Medium"
"GSW","Young","Tall","Medium","80","Medium","Medium","Low","Average","High","Medium","Medium","LowEff","Low"
"DEN","Young","Medium","Light","76","Low","Low","Low","Average","Low","Low","Low","LowEff","High"
"POR","Young","Tall","Medium","45","Low","Low","Low","Average","Medium","Medium","Medium","LowEff","Low"
"PHX","Young","Tall","Heavy","20","Low","Low","Low","Positive","Low","Medium","Medium","Solid","Low"
"PHX","Veteran","Tall","Medium","68","Low","Medium","Low","Average","Medium","Medium","Low","Solid","Low"
"UTA","Young","Medium","Light","82","Low","Low","Low","Average","Low","Low","Medium","Solid","High"
"TOR","Prime","Medium","Light","36","Low","Low","Low","Average","Low","Low","Low","LowEff","Low"
"MIA","Prime","Tall","Medium","82","Low","Medium","Low","Average","Medium","High","Medium","Solid","Low"
"POR","Prime","Medium","Medium","76","Medium","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"ATL","Prime","Tall","Medium","72","Low","Low","Low","Average","High","Medium","Low","LowEff","Low"
"NJN","Veteran","Tall","Medium","20","Low","Low","Low","Average","High","High","Medium","LowEff","Low"
"IND","Young","Medium","Medium","66","Low","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"MIA","Young","Medium","Medium","69","Low","Low","Low","Average","Low","Medium","Medium","LowEff","Medium"
"MIN","Prime","Medium","Light","69","Low","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"SAS","Young","Medium","Medium","41","Low","Low","Low","Negative","High","High","Low","LowEff","Low"
"DAL","Prime","Medium","Light","23","Low","Low","Low","Negative","Medium","Low","Low","LowEff","Medium"
"WAS","Prime","Medium","Medium","75","Low","Low","Low","Average","Low","Medium","Low","LowEff","Low"
"CHI","Young","Medium","Medium","75","Low","Low","Low","Positive","High","Medium","Medium","Solid","Low"
"PHX","Young","Medium","Medium","55","Low","Low","High","Average","Low","Medium","Low","LowEff","High"
"NJN","Prime","Medium","Medium","41","Medium","High","Low","Negative","High","High","Medium","LowEff","Low"
"SAC","Veteran","Medium","Medium","25","Low","Low","Low","Average","Medium","Low","Low","LowEff","Medium"
"UTA","Veteran","Medium","Light","82","Medium","Low","Medium","Positive","Low","Low","Medium","Solid","Medium"
"SEA","Prime","Medium","Light","82","Medium","Low","Low","Positive","Low","Low","Low","Elite","Medium"
"LAL","Prime","Medium","Light","80","Medium","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"HOU","Veteran","Medium","Medium","52","Low","Low","Low","Average","Low","Medium","Medium","Solid","Medium"
"MIA","Veteran","Medium","Medium","27","Low","Low","Low","Negative","High","Medium","Low","Elite","Low"
"CLE","Prime","Medium","Medium","80","Medium","Medium","Low","Average","Low","Medium","Low","Solid","Medium"
"UTA","Veteran","Medium","Medium","73","Low","Low","Low","Negative","Low","Medium","Low","LowEff","Low"
"GSW","Veteran","Medium","Medium","79","Medium","Low","Medium","Average","Low","Medium","Low","Elite","Medium"
"VAN","Young","Medium","Light","41","Low","Low","Low","Negative","Low","Low","Low","LowEff","Medium"
"WAS","Young","Tall","Medium","72","Medium","Medium","Medium","Average","High","High","Medium","Solid","Medium"
"WAS","Prime","Short","Light","82","Low","Low","Low","Average","Low","Low","Medium","Solid","High"
"ATL","Prime","Tall","Medium","82","Medium","Medium","Low","Positive","Medium","Medium","Medium","Solid","Medium"
"MIL","Prime","Medium","Medium","70","Low","Low","Low","Negative","Medium","Medium","Low","Solid","Low"
"NJN","Prime","Tall","Medium","47","Medium","Medium","Low","Average","High","High","High","Solid","Low"
"PHI","Prime","Medium","Medium","82","Low","Medium","Low","Negative","Medium","Medium","Low","Solid","Low"
"TOR","Young","Tall","Medium","42","Low","Medium","Low","Negative","High","High","Low","LowEff","Low"
"HOU","Veteran","Medium","Medium","62","Medium","Medium","Medium","Positive","Medium","Medium","Medium","Solid","High"
"LAL","Prime","Tall","Medium","58","Low","Low","Low","Average","High","Medium","Low","Solid","Low"
"SAC","Young","Medium","Medium","79","Low","Low","Low","Average","Medium","Medium","Medium","Solid","Medium"
"SAS","Young","Medium","Light","80","Low","Low","Low","Negative","Low","Low","Medium","Solid","High"
"SEA","Veteran","Medium","Light","62","Low","Low","Low","Positive","Medium","Medium","Low","LowEff","Medium"
"IND","Prime","Tall","Medium","80","Low","Medium","Low","Average","High","High","Low","Solid","Low"
"DEN","Veteran","Medium","Medium","82","Medium","Low","Low","Negative","Low","Low","Medium","Solid","Low"
"POR","Prime","Tall","Medium","81","Medium","Low","Low","Average","Low","Low","Medium","LowEff","Medium"
"POR","Veteran","Tall","Medium","81","Low","Medium","Low","Average","High","High","Low","LowEff","Low"
"NYK","Prime","Medium","Light","65","Low","Low","Medium","Positive","Low","Low","Low","Solid","High"
"MIN","Young","Medium","Medium","55","Low","Low","Low","Average","Low","Medium","Medium","Solid","Low"
"SAC","Prime","Medium","Medium","24","Low","Medium","Low","Negative","Medium","Medium","Medium","LowEff","Low"
"ORL","Veteran","Medium","Light","77","Low","Low","Medium","Negative","Low","Low","Medium","LowEff","High"
"DEN","Prime","Medium","Light","67","Low","Low","Low","Negative","Low","Low","Medium","Solid","High"
"VAN","Young","Tall","Heavy","75","Medium","Medium","Low","Negative","Medium","Medium","Medium","Solid","Medium"
"DEN","Prime","Medium","Medium","52","Medium","Low","Low","Negative","Low","Low","Medium","Solid","Medium"
"UTA","Prime","Medium","Medium","81","Low","Low","Low","Positive","Low","Medium","Low","Solid","Low"
"NYK","Veteran","Medium","Medium","74","Low","Low","Low","Positive","High","Medium","Low","Solid","Low"
"LAL","Veteran","Medium","Medium","79","Low","Low","Low","Positive","Low","Low","Low","Solid","Medium"
"WAS","Prime","Medium","Medium","79","Low","Low","Low","Average","Low","Low","Low","Solid","Low"
"SAS","Prime","Medium","Medium","75","Low","Low","Low","Negative","Medium","Medium","Medium","LowEff","Low"
"TOR","Prime","Tall","Medium","56","Low","Low","Low","Negative","Medium","Medium","Low","Solid","Low"
"PHX","Prime","Medium","Medium","50","Medium","Medium","Low","Average","Medium","Medium","Medium","Solid","Low"
"HOU","Veteran","Medium","Medium","53","Medium","High","Medium","Positive","High","High","Medium","Solid","Medium"
"NYK","Veteran","Medium","Medium","80","Low","Medium","Low","Average","High","High","Low","Solid","Medium"
"NYK","Prime","Medium","Light","79","Low","Low","Medium","Average","Low","Medium","Low","Solid","High"
"MIN","Young","Tall","Medium","76","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"TOR","Young","Short","Light","81","Medium","Low","High","Average","Low","Low","High","LowEff","High"
"MIA","Veteran","Medium","Medium","36","Low","Low","Low","Average","Low","Medium","Low","Solid","Medium"
"ORL","Veteran","Tall","Medium","45","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Low"
"BOS","Prime","Short","Light","24","Medium","Low","Low","Negative","Low","Low","Medium","Solid","Medium"
"CHI","Prime","Medium","Medium","48","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Medium"
"ATL","Veteran","Tall","Medium","80","Medium","High","Low","Positive","High","High","Low","Solid","Low"
"BOS","Prime","Tall","Medium","25","Medium","Medium","Low","Average","Medium","High","Medium","LowEff","Low"
"SAS","Veteran","Medium","Medium","63","Medium","Medium","Low","Negative","High","Medium","High","LowEff","Medium"
"PHI","Prime","Tall","Medium","37","Low","Low","Low","Negative","Medium","Medium","High","LowEff","Low"
"DET","Young","Medium","Medium","47","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"CHH","Veteran","Medium","Medium","62","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"TOR","Prime","Short","Light","27","Low","Low","Low","Negative","Low","Low","Low","LowEff","Medium"
"ATL","Young","Medium","Light","22","Low","Low","Low","Negative","Medium","Low","Medium","LowEff","Medium"
"CLE","Young","Medium","Medium","56","Low","Low","Low","Negative","Low","Medium","Medium","LowEff","Low"
"POR","Young","Medium","Medium","47","Low","Low","Low","Average","High","Medium","Medium","LowEff","Medium"
"GSW","Young","Medium","Medium","61","Low","Low","Low","Negative","Medium","High","Medium","LowEff","Low"
"TOR","Prime","Medium","Medium","81","Medium","Low","Low","Average","Low","Medium","Medium","Solid","Medium"
"PHI","Prime","Medium","Light","61","Low","Low","Low","Average","Low","Low","Low","LowEff","High"
"MIN","Prime","Medium","Medium","68","Low","Low","Low","Average","Low","Low","Low","LowEff","Low"
"SAC","Prime","Tall","Medium","46","Low","Low","Low","Negative","High","Medium","Low","Solid","Low"
"IND","Veteran","Medium","Medium","62","Low","Low","Low","Average","Medium","Low","Medium","Solid","Low"
"DAL","Young","Medium","Medium","64","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Low"
"CHI","Prime","Medium","Medium","76","Low","Low","Low","Positive","Medium","Medium","Low","LowEff","Medium"
"SEA","Veteran","Tall","Medium","61","Medium","Medium","Medium","Positive","Low","Medium","Medium","Solid","Medium"
"PHI","Prime","Tall","Medium","57","Medium","Medium","Low","Negative","Medium","High","Medium","LowEff","Medium"
"CLE","Prime","Tall","Medium","82","Low","Low","Low","Average","Low","Medium","Low","Solid","Medium"
"PHX","Veteran","Tall","Medium","77","Medium","Medium","Low","Average","Medium","Medium","Medium","Solid","Medium"
"ORL","Prime","Medium","Light","67","Low","Low","Low","Average","Low","Low","Medium","Solid","High"
"LAC","Prime","Short","Light","82","Low","Low","Medium","Average","Low","Low","Medium","Solid","High"
"ATL","Prime","Medium","Medium","24","Low","Low","Low","Average","Low","Medium","Low","LowEff","Medium"
"IND","Young","Medium","Medium","36","Low","Low","Low","Average","High","Low","Low","Solid","Low"
"ORL","Young","Medium","Medium","35","Low","Low","Low","Negative","High","High","Low","LowEff","Low"
"BOS","Prime","Medium","Light","74","Medium","Low","Medium","Negative","Low","Low","Medium","Solid","High"
"SEA","Veteran","Medium","Light","65","Low","Low","Low","Average","Low","Low","Low","LowEff","Medium"
"MIL","Veteran","Medium","Medium","46","Low","Low","Low","Average","Low","Medium","Low","Elite","Low"
"MIN","Prime","Tall","Medium","68","Low","Medium","Low","Average","High","High","Low","Elite","Low"
"BOS","Prime","Medium","Light","21","Low","Low","Low","Negative","Low","Low","Low","LowEff","Medium"
"CHH","Veteran","Medium","Medium","68","Medium","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"CHI","Veteran","Medium","Medium","55","Low","High","Low","Positive","High","High","Low","LowEff","Medium"
"ORL","Prime","Medium","Medium","66","Medium","Low","Low","Average","Low","Low","Medium","LowEff","Medium"
"LAL","Young","Medium","Light","80","Low","Low","Low","Positive","Low","Low","Medium","LowEff","Medium"
"DAL","Veteran","Medium","Medium","75","Low","Low","Medium","Negative","Low","Low","Medium","LowEff","High"
"ORL","Prime","Medium","Medium","82","Low","Medium","Low","Average","Medium","High","Medium","LowEff","Low"
"IND","Prime","Medium","Medium","50","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Medium"
"BOS","Prime","Tall","Medium","70","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Low"
"WAS","Young","Medium","Medium","82","Medium","Medium","Low","Average","Medium","Medium","Medium","Solid","Medium"
"MIA","Prime","Medium","Medium","78","Low","Low","Low","Positive","Medium","Medium","Low","Solid","Low"
"GSW","Prime","Medium","Medium","57","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Medium"
"PHI","Prime","Tall","Medium","62","Low","Medium","Low","Average","High","High","Low","Solid","Low"
"CHI","Veteran","Medium","Medium","82","Medium","Medium","Medium","Positive","Medium","Medium","Medium","Solid","Medium"
"SAS","Prime","Medium","Medium","39","Medium","Low","Low","Negative","Low","Medium","Medium","Solid","Medium"
"LAL","Prime","Tall","Medium","69","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"HOU","Veteran","Medium","Light","21","Low","Low","Low","Average","Low","Low","Low","LowEff","Medium"
"UTA","Young","Medium","Medium","65","Low","Low","Low","Average","Medium","Medium","Medium","Solid","Low"
"MIN","Prime","Short","Light","43","Low","Low","Low","Average","Low","Low","Medium","LowEff","Medium"
"LAL","Prime","Tall","Heavy","51","High","High","Low","Positive","High","High","High","Solid","Medium"
"NYK","Veteran","Short","Light","38","Low","Low","Low","Average","Low","Low","Low","Elite","Medium"
"VAN","Young","Medium","Medium","80","Medium","Medium","Low","Negative","Medium","Medium","High","LowEff","Medium"
"DAL","Prime","Tall","Medium","73","Medium","Medium","Low","Negative","High","Medium","Medium","LowEff","Low"
"SEA","Prime","Tall","Medium","81","Medium","Medium","Low","Positive","High","High","High","Solid","Low"
"TOR","Prime","Medium","Light","41","Low","Low","Low","Average","Low","Low","Low","Solid","Medium"
"MIL","Prime","Medium","Light","79","Low","Low","Medium","Average","Low","Low","Low","Solid","High"
"POR","Prime","Medium","Medium","60","Low","Low","Low","Positive","Medium","Medium","Low","Solid","Low"
"UTA","Prime","Medium","Medium","49","Low","Low","Low","Average","Medium","Medium","Medium","Elite","Low"
"TOR","Young","Tall","Medium","60","Low","Low","Low","Negative","Medium","Medium","High","LowEff","Low"
"DAL","Prime","Medium","Light","56","Medium","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"DAL","Young","Medium","Medium","43","Low","Low","Low","Negative","Medium","Medium","Medium","LowEff","Low"
"PHI","Prime","Medium","Light","59","Low","Low","Low","Negative","Low","Low","Low","Solid","Medium"
"LAC","Prime","Tall","Medium","26","Low","Low","Low","Negative","Medium","Medium","Medium","LowEff","Low"
"BOS","Prime","Medium","Medium","76","Medium","Low","Low","Negative","Low","Medium","Medium","Solid","Medium"
"DET","Veteran","Tall","Medium","22","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Low"
"CHH","Veteran","Medium","Medium","60","Low","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"IND","Prime","Tall","Medium","52","Medium","Medium","Low","Average","Medium","High","High","Solid","Low"
"LAL","Prime","Tall","Medium","54","Low","Low","Low","Average","Medium","Medium","Low","Solid","Medium"
"DAL","Prime","Medium","Light","54","Medium","Low","High","Negative","Low","Low","Medium","LowEff","High"
"CHI","Veteran","Tall","Medium","43","Low","Low","Low","Positive","High","Medium","Medium","LowEff","Low"
"WAS","Prime","Medium","Light","82","Medium","Low","High","Average","Low","Low","Medium","Solid","High"
"LAC","Prime","Medium","Medium","81","Medium","Low","Low","Average","Medium","Medium","Medium","Solid","Medium"
"CHI","Veteran","Medium","Medium","76","Low","Low","Low","Positive","Low","Low","Low","Solid","Medium"
"ORL","Veteran","Tall","Medium","74","Medium","Medium","Low","Average","High","Medium","Medium","Solid","Low"
"VAN","Young","Tall","Medium","82","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Low"
"POR","Prime","Medium","Light","54","Low","Low","Low","Average","Low","Low","Medium","LowEff","Medium"
"NJN","Prime","Medium","Light","61","Medium","Low","Medium","Average","Low","Low","High","Solid","High"
"HOU","Prime","Medium","Medium","52","Low","Low","Low","Average","Low","Medium","Low","Solid","Medium"
"MIN","Veteran","Medium","Medium","82","Low","Low","Low","Average","Medium","Medium","Medium","Solid","Low"
"SEA","Veteran","Medium","Medium","81","Low","Low","Low","Positive","Low","Medium","Medium","Solid","Low"
"MIN","Young","Medium","Light","67","Medium","Low","Medium","Average","Low","Low","Medium","LowEff","High"
"PHX","Prime","Medium","Light","65","Medium","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"BOS","Young","Tall","Medium","35","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"PHX","Young","Medium","Light","65","Low","Low","Low","Negative","Low","Low","Low","Solid","High"
"MIA","Prime","Medium","Light","28","Low","Low","Low","Average","Medium","Medium","Low","Solid","Medium"
"SAS","Veteran","Tall","Medium","65","Low","Medium","Low","Average","High","High","Low","Solid","Low"
"PHX","Prime","Medium","Light","80","Medium","Low","Low","Average","Low","Medium","Medium","Solid","Low"
"PHX","Veteran","Medium","Medium","53","Low","Low","Low","Average","Medium","Medium","High","LowEff","Low"
"NYK","Young","Tall","Medium","35","Low","Low","Low","Average","Medium","Low","Medium","LowEff","Medium"
"TOR","Prime","Medium","Medium","73","Medium","Low","Low","Average","Low","Medium","Medium","Solid","Medium"
"MIA","Young","Medium","Medium","73","Medium","Low","Low","Positive","Low","Low","Medium","Elite","Medium"
"CHH","Prime","Tall","Medium","81","Medium","Medium","Low","Positive","High","Medium","Medium","Solid","Medium"
"CLE","Young","Tall","Heavy","80","Low","Low","Low","Average","High","Medium","Medium","LowEff","Low"
"ATL","Prime","Medium","Medium","24","Low","Low","Low","Average","Low","Low","Medium","LowEff","Low"
"SAS","Prime","Medium","Light","72","Medium","Low","Low","Negative","Low","Low","Medium","Solid","Medium"
"MIL","Prime","Tall","Medium","78","Medium","Medium","Low","Average","High","High","High","Solid","Medium"
"SAS","Veteran","Medium","Light","72","Medium","Low","Low","Negative","Low","Low","Medium","LowEff","Medium"
"SAC","Young","Short","Light","70","Low","Low","Low","Average","Low","Low","Medium","LowEff","High"
"CLE","Prime","Medium","Medium","74","Medium","Medium","Low","Positive","High","High","Low","Elite","Low"
"ATL","Veteran","Medium","Medium","70","Low","Low","Low","Positive","Low","Medium","Low","LowEff","Low"
"LAL","Young","Tall","Medium","71","Low","Low","Low","Positive","High","Medium","Low","Solid","Low"
"IND","Young","Short","Light","76","Low","Low","Medium","Average","Low","Low","Medium","Solid","High"
"WAS","Prime","Medium","Medium","82","Low","Low","Low","Average","Medium","Medium","Medium","Solid","Low"
"HOU","Veteran","Medium","Light","27","Low","Low","Low","Negative","Medium","Low","Medium","LowEff","Medium"
"DEN","Veteran","Medium","Medium","43","Low","Low","Low","Average","Low","Low","Low","Solid","Medium"
"NJN","Veteran","Medium","Medium","62","Low","Low","Low","Average","High","Medium","Low","LowEff","Low"
"NJN","Young","Tall","Medium","41","Low","Low","Low","Average","High","Medium","Low","LowEff","Low"
"ATL","Prime","Medium","Medium","72","Medium","Low","Medium","Positive","Low","Low","High","Solid","Medium"
"MIN","Veteran","Tall","Medium","53","Low","Low","Low","Negative","Medium","Medium","Low","Solid","Low"
"CLE","Prime","Short","Light","78","Medium","Low","Medium","Average","Low","Medium","High","Solid","High"
"SEA","Veteran","Medium","Medium","45","Low","Low","Low","Average","High","Medium","Medium","Solid","Low"
"LAC","Prime","Medium","Light","73","Low","Low","Low","Average","Low","Low","Medium","Solid","High"
"DET","Prime","Tall","Medium","79","Low","Low","Low","Positive","Low","Medium","Medium","Solid","Low"
"MIN","Veteran","Medium","Light","82","Low","Low","Low","Average","Low","Medium","Medium","Solid","High"
"DET","Young","Tall","Medium","76","Low","Low","Low","Positive","High","Medium","Low","Solid","Low"
"MIA","Prime","Short","Light","81","Medium","Low","High","Positive","Low","Low","High","Solid","High"
"BOS","Prime","Medium","Light","81","Medium","Low","Low","Negative","Low","Medium","Medium","LowEff","Low"
"GSW","Young","Tall","Medium","75","Low","Low","Low","Negative","High","Medium","Low","LowEff","Low"
"MIN","Prime","Tall","Medium","81","Medium","Medium","Medium","Average","Medium","Medium","High","Solid","Medium"
"DEN","Prime","Medium","Medium","81","Low","Low","Low","Negative","Medium","Medium","Low","Solid","Low"
"CHI","Prime","Tall","Medium","57","Medium","Low","Medium","Positive","Medium","Medium","Medium","Solid","Medium"
"CHH","Young","Medium","Light","61","Low","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"PHX","Young","Medium","Light","24","Low","Low","Low","Average","Low","Low","Medium","LowEff","Medium"
"CHI","Veteran","Medium","Light","82","Low","Low","Low","Positive","Low","Low","Low","Elite","Medium"
"TOR","Prime","Medium","Medium","26","Low","Low","Low","Average","High","Medium","Medium","Solid","Low"
"IND","Veteran","Medium","Light","81","Medium","Low","Low","Average","Low","Low","Medium","Elite","Medium"
"DET","Prime","Medium","Light","82","Medium","Low","Low","Positive","Low","Low","Medium","LowEff","Low"
"SAC","Prime","Medium","Medium","41","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Medium"
"DET","Prime","Medium","Light","45","Low","Low","Low","Positive","Low","Low","Low","Solid","Medium"
"CHH","Prime","Medium","Medium","69","Low","Low","Low","Average","Low","Low","Low","LowEff","Medium"
"PHX","Young","Tall","Medium","54","Low","Low","Low","Negative","Medium","Medium","Medium","LowEff","Low"
"LAC","Young","Tall","Medium","77","Low","Medium","Low","Average","High","Medium","Low","LowEff","Low"
"LAC","Prime","Medium","Medium","82","Medium","Medium","Low","Negative","Medium","High","Medium","Solid","Low"
"VAN","Prime","Medium","Light","80","Low","Low","Medium","Negative","Low","Low","Low","Solid","High"
"CHI","Prime","Tall","Heavy","59","Low","Medium","Low","Positive","Medium","Medium","Medium","LowEff","Medium"
"SAC","Prime","Medium","Light","75","Medium","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"CHH","Young","Medium","Medium","54","Low","Low","Low","Average","High","High","Low","LowEff","Low"
"LAC","Prime","Medium","Light","80","Medium","Low","Low","Negative","Low","Low","Medium","LowEff","Medium"
"POR","Young","Medium","Light","21","Low","Low","Low","Average","Low","Low","Medium","Solid","Medium"
"TOR","Young","Tall","Medium","63","Medium","Medium","Low","Average","Medium","Medium","Medium","Solid","Low"
"HOU","Veteran","Medium","Medium","78","Low","Low","Medium","Positive","Low","Low","Low","Elite","Medium"
"PHI","Prime","Tall","Medium","36","Low","Low","Low","Average","High","Medium","Low","LowEff","Low"
"PHX","Veteran","Medium","Medium","41","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"PHI","Young","Medium","Medium","75","Low","Low","Low","Negative","Medium","Medium","Low","Solid","Medium"
"PHI","Prime","Medium","Medium","54","Low","Low","Low","Negative","Low","Low","Medium","LowEff","Medium"
"VAN","Prime","Medium","Light","67","Low","Low","Low","Negative","Low","Low","Medium","LowEff","Medium"
"GSW","Prime","Medium","Light","80","High","Low","Medium","Average","Low","Medium","High","Solid","High"
"SEA","Prime","Medium","Medium","70","Low","Low","Low","Positive","Medium","Medium","Low","LowEff","Low"
"NJN","Prime","Medium","Medium","82","Medium","Medium","Medium","Average","Medium","Medium","High","Solid","Medium"
"POR","Prime","Medium","Light","82","Medium","Low","Medium","Average","Low","Medium","Medium","Solid","High"
"DEN","Veteran","Medium","Light","48","Low","Low","Low","Negative","Low","Low","Medium","Solid","High"
"NJN","Young","Medium","Light","82","Medium","Low","Low","Negative","Low","Low","Medium","Solid","Medium"
